Product,Price,Link
Apple 蘋果 iPhone 16 (128G),1644,https://24h.pchome.com.tw/prod/DYAJFR-1900HSTSR
Apple 蘋果 iPhone 16 (256G),1837,https://24h.pchome.com.tw/prod/DYAJFR-1900HSTSB
Apple 蘋果 iPhone 16 Plus (256G),2002,https://24h.pchome.com.tw/prod/DYAJFR-1900HSTSF
Apple 蘋果 iPhone 16 Pro (128G),2029,https://24h.pchome.com.tw/prod/DYAJFR-1900HSTSY
Apple 蘋果 iPhone 16 Pro Max (256G),2469,https://24h.pchome.com.tw/prod/DYAJFR-1900HSTT4
Apple 蘋果 iPhone 16 Pro Max (512G),2854,https://24h.pchome.com.tw/prod/DYAJFR-1900HSTT5
Apple iPhone 16e 128GB,20899,https://www.costco.com.tw/Digital-Mobile/Mobile-Tablets/iPhone-Mobile-Phones/Apple-iPhone-16e-128GB/p/151744-B
Apple 蘋果 iPhone 16e (128G),20900,https://24h.pchome.com.tw/prod/DYAJ8L-1900IDJG6
Apple iPhone 16e 256GB,24399,https://www.costco.com.tw/Digital-Mobile/Mobile-Tablets/iPhone-Mobile-Phones/Apple-iPhone-16e-256GB/p/151746-B
Apple 蘋果 iPhone 16e (256G),24400,https://24h.pchome.com.tw/prod/DYAJ81-1900IDJHY
Apple 蘋果 iPhone 16 (128G),27999,https://24h.pchome.com.tw/prod/DYAJLW-1900HSPR4
Apple iPhone 16 128GB,28289,https://www.costco.com.tw/Digital-Mobile/Mobile-Tablets/iPhone-Mobile-Phones/Apple-iPhone-16-128GB/p/149001-B
Apple 蘋果 iPhone 16 (128G),28299,https://24h.pchome.com.tw/prod/DYAJLW-A900HSYD3
Apple 蘋果 iPhone 16 (128G),28299,https://24h.pchome.com.tw/prod/DYAJLW-A900HSVAQ
Apple iPhone 16e 512GB,31299,https://www.costco.com.tw/Digital-Mobile/Mobile-Tablets/iPhone-Mobile-Phones/Apple-iPhone-16e-512GB/p/151749-B
Apple 蘋果 iPhone 16 Plus (128G),31500,https://24h.pchome.com.tw/prod/DYAJLZ-A900HSVAH
Apple 蘋果 iPhone 16 (256G),31500,https://24h.pchome.com.tw/prod/DYAJLY-1900I4AHH
Apple 蘋果 iPhone 16 Plus (128G),31500,https://24h.pchome.com.tw/prod/DYAJLZ-1900HSPR9
